Autor;Erscheinungsjahr;Titel;ISBN;Aktueller Preis
Edith Sheffer;04.10.2018;"""Aspergers Kinder""";9783593440286;25,99
Stefan Klein;10.03.2021;"""Wie wir die Welt ver�ndern""";9783104037158;16,99
Thomas Reydon;23.10.2013;"""Wissenschaftsethik""";3825240320;Unbekannt
Philip Conradin-Triaca;2014;"""Pierre Bourdieus Rechtssoziologie""";3428144112;Unbekannt
Mareike Br�cheler;25.08.2020;"""Haushaltsnahe Dienstleistungen f�r Familien""";9783954098064;24,99
Julian Nida-R�melin, Elif �zmen;01.01.2013;"""Welt der Gr�nde""";9783787322701;94,99
Dirk Fust;2021;"""Ein neuer Weg aus der Klimakrise""";3962389016;Unbekannt
Bill Hansson;27.10.2021;"""Die Nase vorn""";9783104913476;19,99
Susanne Froehlich;30.11.2020;"""Altertumswissenschaft in Greifswald""";3515128867;Unbekannt
Sabine Maasen, Mario Kaiser, Martin Reinhart, Barbara Sutter;29.09.2012;"""Handbuch Wissenschaftssoziologie""";9783531189185;86,99
Bernhard Kegel;16.04.2018;"""Ausgestorben, um zu bleiben""";9783832184032;9,99
Christopher Bird, Peter Tompkins;01.02.2018;"""Das geheime Leben der Pflanzen""";9783104907161;8,99
Frido Mann, Christine Mann;23.02.2017;"""Es werde Licht""";9783104902821;12,99
Marcus B�ick, Constantin Goschler, Ralph Jessen;20.09.2021;"""Jahrbuch Deutsche Einheit 2021""";3962891293;Unbekannt
Colleen Hoover;22.07.2016;"""Zur�ck ins Leben geliebt""";9783423430951;9,99
Johann Georg Heinrich Feder;1795;"""Logik und Metaphysik""";Unbekannt;Unbekannt
Horst Dietrich Preuss;1971;"""Beitr�ge zur Wissenschaft vom Alten und Neuen Testament""";Unbekannt;Unbekannt
Carl Schmitt;01.01.2011;"""Die Tyrannei der Werte""";9783428534579;16
Katja Diehl;09.02.2022;"""Autokorrektur � Mobilit�t f�r eine lebenswerte Welt""";9783104915746;12,99
Detlef D�ring, Kurt Nowak;2000;"""Gelehrte Gesellschaften im mitteldeutschen Raum (1650-1820)""";Unbekannt;Unbekannt
Olaf L. M�ller;24.04.2019;"""Zu sch�n, um falsch zu sein""";9783104028675;19,99
Kirsten Smilla Ebeling, Sigrid Schmitz;04.09.2007;"""Geschlechterforschung und Naturwissenschaften""";9783531900919;56,64
Bernhard Kegel;12.03.2015;"""Die Herrscher der Welt""";9783832188580;9,99
Martin Carrier;17.01.2019;"""Wissenschaftstheorie zur Einf�hrung""";9783960600909;12,99
Lisa Bei�wanger;20.09.2021;"""Performance on Display""";3422984488;Unbekannt
Stefan Schomann;07.10.2021;"""Auf der Suche nach den wilden Pferden""";9783462321609;19,99
Florian Fisch;29.07.2016;"""Wissenschaftlich erwiesen""";9783527692972;21,99
Maddalena Fingerle;22.02.2022;"""Muttersprache""";9783990371268;16,99
Johannes Schulten;09.02.2022;"""Im permanenten Reorganisierungsmodus""";359351561X;Unbekannt
Armin Grunwald, J�rgen Kopfm�ller;09.02.2022;"""Nachhaltigkeit""";9783593447056;24,99
Dr. Philip H�usser;02.11.2021;"""Nat�rlich alles k�nstlich""";9783426461624;15,99
Gerhard Roth, Nicole Str�ber;24.09.2014;"""Wie das Gehirn die Seele macht""";9783608107500;14,99
Silvia Berger;25.10.2013;"""Bakterien in Krieg und Frieden""";9783835320895;37,99
Humberto �vila;08.12.2021;"""Theorie der Rechtssicherheit""";3428184696;Unbekannt
Slavoj �i�ek;29.07.2020;"""Hegel im verdrahteten Gehirn""";9783104911991;18,99
Christian Seipel, Per Holderberg;2020;"""Der wissenschaftliche Mittelbau - Arbeit, Hochschule, Demokratie""";3779955636;Unbekannt
Fabian von Rabenau;10.03.2022;"""Das Naturrecht der Gegenwart und die Unverf�gbarkeit des Rechts.""";3428185609;Unbekannt
J�rg Ernesti;2019;"""Leo XIII.""";3451384604;Unbekannt
Maren Constanze Luy;72.019;"""Die Beauftragte der Bundesregierung f�r Kultur und Medien.""";3428156501;Unbekannt
Rudolf Kra�er, Christoph Ann, Wolfgang Bernhardt;32.016;"""Patentrecht""";3406672760;Unbekannt
Marcel Lepper;52.018;"""Interdisziplinaritat Und Disziplinenkonfiguration:""";3777623474;Unbekannt
Ecky Oesterhoff, Peter Gocke, Henning Schneider, J�rg F. Debatin;15.07.2021;"""Digitalisierung im Krankenhaus""";3954666340;Unbekannt
Naomi Oreskes, Erik M. Conway;29.09.2014;"""Die Machiavellis der Wissenschaft""";3527412115;Unbekannt
Sebastian Seel;2021;"""Wahrheit im Strafprozess""";3428581717;Unbekannt
Bernhard Kegel;07.04.2015;"""Epigenetik""";3832163182;Unbekannt
Jen Martin;20.10.2021;"""Warum manche Ger�che Heimweh verursachen und K�hlschr�nke nachts besonders verlockend sind""";3957285194;Unbekannt
Steffen Hillebrecht;24.03.2021;"""Kommunikation und Medien.""";3896737635;Unbekannt
R�ttgers Kurt;2021;"""Das Soziale Denken""";3958322395;Unbekannt
Thomas Stobbe;17.06.2019;"""Steuern kompakt""";3896737562;Unbekannt
Unbekannt;2023;"""Reisen""";Unbekannt;Unbekannt
R�diger Safranski;1997;"""Das B�se, oder, Das Drama der Freiheit""";3446187677;Unbekannt
Daniel Uhlig;17.11.2020;"""Das Recht bei Marx und im Materialismus.""";3428180046;Unbekannt
Ferdinand Ernst Nord;1959;"""Weltverbundenheit der Wissenschaft""";Unbekannt;Unbekannt
Steffen Hillebrecht;24.03.2021;"""Kommunikation und Medien.""";3896737635;Unbekannt
R�ttgers Kurt;2021;"""Das Soziale Denken""";3958322395;Unbekannt
Thomas Stobbe;17.06.2019;"""Steuern kompakt""";3896737562;Unbekannt
Unbekannt;2023;"""Reisen""";Unbekannt;Unbekannt
R�diger Safranski;1997;"""Das B�se, oder, Das Drama der Freiheit""";3446187677;Unbekannt
Daniel Uhlig;17.11.2020;"""Das Recht bei Marx und im Materialismus.""";3428180046;Unbekannt
Reinhild Benning;2021;"""Fleischatlas""";386928224X;Unbekannt
Michael Stavaric;31.08.2021;"""Faszination Krake""";3701182027;Unbekannt
Ferdinand Ernst Nord;1959;"""Weltverbundenheit der Wissenschaft""";Unbekannt;Unbekannt
Spektrum der Wissenschaft;10.06.2021;"""Spektrum Kompakt - Science not fiction""";9783958925878;4,99
Andreas Keller;2015;"""Wir k�nnen auch anders!""";3944763149;Unbekannt
A.F. Chalmers;14.03.2013;"""Wege der Wissenschaft""";9783662108819;39,99
Rudolf Virchow;1877;"""Die freiheit der wissenschaft im modernen staat""";Unbekannt;Unbekannt
Henri Poincare;23.04.2018;"""Wissenschaft Und Hypothese""";0260101257;Unbekannt
F. Lindemann, L. Lindemann;22.11.2013;"""Wissenschaft und Hypothese""";9783663157465;42,99
Brandenburg Ministerium f�r Wissenschaft, Forschung und Kultur;1994;"""Wissenschaft, Forschung und Kultur im Land Brandenburg""";Unbekannt;Unbekannt
Gerald Holton;13.03.2013;"""Wissenschaft und Anti-Wissenschaft""";9783709194850;38,66
Lars Jaeger;16.03.2023;"""Geniale Frauen in Der Wissenschaften""";3662665271;Unbekannt
Paul Kirchhof;1986;"""Wissenschaft in verfasster Freiheit""";Unbekannt;Unbekannt
Alan F. Chalmers;11.994;"""Wege der Wissenschaft""";3540584749;Unbekannt
Wilhelm Martin Joachim Rosenkrantz, Wilhelm Rosenkrantz;1868;"""�Die� Wissenschaft des Wissens""";Unbekannt;Unbekannt
Henri Poincar�;27.10.2022;"""Wissenschaft Und Hypothese: Autorisierte Deutsche Ausgabe Mit Erl�uternden Anmerkungen""";1016063660;Unbekannt
G. M. Dobrov;14.01.1981;"""Wissenschaft""";9783112731291;129
Gotthard Schettler, Detlev Ganten, Reinhard Baildon;13.04.1992;"""Konferenz der Akademien der Wissenschaften der Bundesrepublik Deutschland. Wissenschaft -Wirtschaft -�ffentlichkeit""";Unbekannt;Unbekannt
Wilma Mohr;1987;"""Frauen in der Wissenschaft""";Unbekannt;Unbekannt
Michael Springer;21.11.2018;"""Lauter �berraschungen""";9783662582299;19,99
Wolfgang Deppert;22.10.2018;"""Theorie der Wissenschaft""";9783658140434;49,99
Unbekannt;01.12.2013;"""Wissensgesellschaft und Industrialisierung der Wissenschaft""";9783663091479;42,99
J�rgen Mittelstrass;1974;"""Die M�glichkeit von Wissenschaft""";Unbekannt;Unbekannt
Sebastian Kaufmann;06.06.2022;"""Kommentar zu Nietzsches ""Die fr�hliche Wissenschaft""""";9783110388909;Unbekannt
Wilhelm Martin Joachim Rosenkrantz;1866;"""Die Wissenschaft des Wissens und Begr�ndung der besonderen Wissenschaften durch die allgemeine Wissenschaft""";Unbekannt;Unbekannt
Knies;1850;"""Die Statistik als selbst�ndige Wissenschaft""";Unbekannt;Unbekannt
Rolf Br�hl;27.09.2021;"""Wie Wissenschaft Wissen schafft""";9783825257262;Unbekannt
Heiko Herwald;21.08.2020;"""Warum Ethik in der Wissenschaft wichtig ist""";3658306874;Unbekannt
Alan F. Chalmers;11.994;"""Wege der Wissenschaft""";3540584749;Unbekannt
Wilhelm Martin Joachim Rosenkrantz, Wilhelm Rosenkrantz;1868;"""�Die� Wissenschaft des Wissens""";Unbekannt;Unbekannt
Henri Poincar�;27.10.2022;"""Wissenschaft Und Hypothese: Autorisierte Deutsche Ausgabe Mit Erl�uternden Anmerkungen""";1016063660;Unbekannt
G. M. Dobrov;14.01.1981;"""Wissenschaft""";9783112731291;129
Gotthard Schettler, Detlev Ganten, Reinhard Baildon;13.04.1992;"""Konferenz der Akademien der Wissenschaften der Bundesrepublik Deutschland. Wissenschaft -Wirtschaft -�ffentlichkeit""";Unbekannt;Unbekannt
Wilma Mohr;1987;"""Frauen in der Wissenschaft""";Unbekannt;Unbekannt
Michael Springer;21.11.2018;"""Lauter �berraschungen""";9783662582299;19,99
Wolfgang Deppert;22.10.2018;"""Theorie der Wissenschaft""";9783658140434;49,99
Unbekannt;01.12.2013;"""Wissensgesellschaft und Industrialisierung der Wissenschaft""";9783663091479;42,99
J�rgen Mittelstrass;1974;"""Die M�glichkeit von Wissenschaft""";Unbekannt;Unbekannt
Sebastian Kaufmann;06.06.2022;"""Kommentar zu Nietzsches ""Die fr�hliche Wissenschaft""""";9783110388909;Unbekannt
Wilhelm Martin Joachim Rosenkrantz;1866;"""Die Wissenschaft des Wissens und Begr�ndung der besonderen Wissenschaften durch die allgemeine Wissenschaft""";Unbekannt;Unbekannt
Knies;1850;"""Die Statistik als selbst�ndige Wissenschaft""";Unbekannt;Unbekannt
Rolf Br�hl;27.09.2021;"""Wie Wissenschaft Wissen schafft""";9783825257262;Unbekannt
Heiko Herwald;21.08.2020;"""Warum Ethik in der Wissenschaft wichtig ist""";3658306874;Unbekannt
Spektrum der Wissenschaft;06.07.2023;"""Spektrum Kompakt - Fremdsprachen""";9783958928169;5,49
Calwius;05.09.2023;"""Die Natur antwortet nicht""";3384015290;Unbekannt
Kongre� Junge Wissenschaft und Wirtschaft;1983;"""Kongress Junge Wissenschaft und Wirtschaft: Mehr Markt oder mehr Dirigismus ; �konomisches Denken im Umgang mit knappen G�tern""";Unbekannt;Unbekannt
Wilhelm Martin Joachim Rosenkrantz;1868;"""Die Wissenschaft des Wissens und Begr�ndung der besonderen Wissenschaften durch die allgemeine Wissenschaft""";Unbekannt;Unbekannt
Heidi Christina Kohlstock;19.08.2008;"""Was ist Wissenschaft und Erkenntnistheorie""";9783640141050;2,99
Sergio Merz;05.07.2021;"""Staat und Wissenschaft. Das Problem der Wissenschaftsfreiheit""";9783346432193;5,99
Science Busters;26.09.2022;"""Wissenschaft ist das, was auch dann gilt, wenn man nicht dran glaubt""";9783446276864;19,99
Alfred North Whitehead;1949;"""Wissenschaft und moderne Welt""";Unbekannt;Unbekannt
Heiko Herwald;21.02.2020;"""Wie Wissenschaft L�nder, Gesellschaften, Religionen vereint""";3658288396;Unbekannt
Carl Friedrich von Weizs�cker;1986;"""Die Verantwortung der Wissenschaft im Atomzeitalter""";3525331304;Unbekannt
Clemens Lorei;28.02.2023;"""Zeitschrift Polizei & Wissenschaft""";9783866767942;19
Juliane Burghardt;10.02.2022;"""Arbeitsplatz Wissenschaft""";3662638924;Unbekannt
Leopold Zunz;1976;"""Zeitschrift f�r die Wissenschaft des Judenthums [Judentums]""";Unbekannt;Unbekannt
Alexander F. Flohr;21.02.2025;"""Die Glaubw�rdigkeitskrise der Wissenschaft aus Sicht der sozialen Erkenntnistheorie""";9783658469849;54,99
Karl Christian F. Krause;1829;"""Krause's Vorlesungen [�ber die Grundwahrheiten der Wissenschaft]. Erster Vortrag""";Unbekannt;Unbekannt
Karl Rosenkranz;1843;"""Psychologie""";Unbekannt;Unbekannt
Peter Reelmann;11.01.2016;"""Die Entwicklung der Wissenschaft nach Thomas Kuhn""";9783668121669;13,99
Calwius;05.09.2023;"""Die Natur antwortet nicht""";3384015290;Unbekannt
Kongre� Junge Wissenschaft und Wirtschaft;1983;"""Kongress Junge Wissenschaft und Wirtschaft: Mehr Markt oder mehr Dirigismus ; �konomisches Denken im Umgang mit knappen G�tern""";Unbekannt;Unbekannt
Wilhelm Martin Joachim Rosenkrantz;1868;"""Die Wissenschaft des Wissens und Begr�ndung der besonderen Wissenschaften durch die allgemeine Wissenschaft""";Unbekannt;Unbekannt
Heidi Christina Kohlstock;19.08.2008;"""Was ist Wissenschaft und Erkenntnistheorie""";9783640141050;2,99
Sergio Merz;05.07.2021;"""Staat und Wissenschaft. Das Problem der Wissenschaftsfreiheit""";9783346432193;5,99
Science Busters;26.09.2022;"""Wissenschaft ist das, was auch dann gilt, wenn man nicht dran glaubt""";9783446276864;19,99
Alfred North Whitehead;1949;"""Wissenschaft und moderne Welt""";Unbekannt;Unbekannt
Heiko Herwald;21.02.2020;"""Wie Wissenschaft L�nder, Gesellschaften, Religionen vereint""";3658288396;Unbekannt
Carl Friedrich von Weizs�cker;1986;"""Die Verantwortung der Wissenschaft im Atomzeitalter""";3525331304;Unbekannt
Clemens Lorei;28.02.2023;"""Zeitschrift Polizei & Wissenschaft""";9783866767942;19
Juliane Burghardt;10.02.2022;"""Arbeitsplatz Wissenschaft""";3662638924;Unbekannt
Leopold Zunz;1976;"""Zeitschrift f�r die Wissenschaft des Judenthums [Judentums]""";Unbekannt;Unbekannt
Alexander F. Flohr;21.02.2025;"""Die Glaubw�rdigkeitskrise der Wissenschaft aus Sicht der sozialen Erkenntnistheorie""";9783658469849;54,99
Karl Christian F. Krause;1829;"""Krause's Vorlesungen [�ber die Grundwahrheiten der Wissenschaft]. Erster Vortrag""";Unbekannt;Unbekannt
Karl Rosenkranz;1843;"""Psychologie""";Unbekannt;Unbekannt
Peter Reelmann;11.01.2016;"""Die Entwicklung der Wissenschaft nach Thomas Kuhn""";9783668121669;13,99
Leo Ball, Peter Chrisp, Julian Emsley, Clive Gifford, Jo Locke, Douglas Palmer, Ginny Smith, Giles Sparrow, Nicola Temple;28.08.2023;"""Reise durch die Wissenschaft""";3831047413;Unbekannt
Unbekannt;1783;"""Grunds�te der Universal, Cameral-Wissenschaft""";Unbekannt;Unbekannt
Spektrum der Wissenschaft;16.06.2023;"""Spektrum Kompakt - Neurodiversit�t""";9783958928145;5,49
Wilhelm Ostwald;19.05.2024;"""Kunst und Wissenschaft""";Unbekannt;1,99
Julia Herrmann;26.09.2020;"""Denkschulen der politischen Wissenschaft. Methodische Ans�tze im historischen Kontext""";3346263622;Unbekannt
Carlo Gentili, Cathrin Nielsen;26.05.2010;"""Der Tod Gottes und die Wissenschaft""";9783110220759;189,95
Hugo Dingler;1931;"""Der zusammenbruch der wissenschaft und der primat der philosophie""";Unbekannt;Unbekannt
Patrick Cramer;27.03.2024;"""Zukunftswelten""";9783104918440;24,99
Reinhard Neck;2013;"""Kommunikation - Objekt und Agens von Wissenschaft""";3205794893;Unbekannt
Lisa Rhein;2015;"""Selbstdarstellung in der Wissenschaft""";3631668104;Unbekannt
Martin K�hler;1883;"""Die Wissenschaft der christlichen Lehre von dem evangelischen Grundartikel aus im Abrisse dargestellt""";Unbekannt;Unbekannt
Robert Stephens;18.10.2021;"""Evolution Von Wissenschaft""";9798499439357;Unbekannt
Ulrich Renz;11.11.2012;"""Sch�nheit: Eine Wissenschaft f�r sich""";9783945090008;9,99
Lehranstalt f�r die Wissenschaft des Judentums (Berlin, Germany);1938;"""Einundf�nfzigster Bericht der Lehranstalt f�r die Wissenschaft des Judentums in Berlin""";Unbekannt;Unbekannt
Martin Wilckens;1879;"""Kunst und Wissenschaft in der Landwirthschaft""";Unbekannt;Unbekannt
Leo Ball, Peter Chrisp, Julian Emsley, Clive Gifford, Jo Locke, Douglas Palmer, Ginny Smith, Giles Sparrow, Nicola Temple;28.08.2023;"""Reise durch die Wissenschaft""";3831047413;Unbekannt
Unbekannt;1783;"""Grunds�te der Universal, Cameral-Wissenschaft""";Unbekannt;Unbekannt
Spektrum der Wissenschaft;16.06.2023;"""Spektrum Kompakt - Neurodiversit�t""";9783958928145;5,49
Wilhelm Ostwald;19.05.2024;"""Kunst und Wissenschaft""";Unbekannt;1,99
Julia Herrmann;26.09.2020;"""Denkschulen der politischen Wissenschaft. Methodische Ans�tze im historischen Kontext""";3346263622;Unbekannt
Carlo Gentili, Cathrin Nielsen;26.05.2010;"""Der Tod Gottes und die Wissenschaft""";9783110220759;189,95
Hugo Dingler;1931;"""Der zusammenbruch der wissenschaft und der primat der philosophie""";Unbekannt;Unbekannt
Patrick Cramer;27.03.2024;"""Zukunftswelten""";9783104918440;24,99
Reinhard Neck;2013;"""Kommunikation - Objekt und Agens von Wissenschaft""";3205794893;Unbekannt
Lisa Rhein;2015;"""Selbstdarstellung in der Wissenschaft""";3631668104;Unbekannt
Martin K�hler;1883;"""Die Wissenschaft der christlichen Lehre von dem evangelischen Grundartikel aus im Abrisse dargestellt""";Unbekannt;Unbekannt
Robert Stephens;18.10.2021;"""Evolution Von Wissenschaft""";9798499439357;Unbekannt
Ulrich Renz;11.11.2012;"""Sch�nheit: Eine Wissenschaft f�r sich""";9783945090008;9,99
Lehranstalt f�r die Wissenschaft des Judentums (Berlin, Germany);1938;"""Einundf�nfzigster Bericht der Lehranstalt f�r die Wissenschaft des Judentums in Berlin""";Unbekannt;Unbekannt
Martin Wilckens;1879;"""Kunst und Wissenschaft in der Landwirthschaft""";Unbekannt;Unbekannt
Fran�ois Beilecke, Rudolf Messner, Ralf Weskamp;2014;"""Wissenschaft inszenieren""";3781553493;Unbekannt
Unbekannt;1774;"""Grunds�tze der Rechnungs-Wissenschaft auf das Privatverm�gen angewendet""";Unbekannt;Unbekannt
Joanna Giel;23.06.2015;"""Ernst Cassirer""";9788364208096;Unbekannt
Kurt Bayertz;1980;"""Wissenschaft als historischer Prozess""";Unbekannt;Unbekannt
Martin Achterberg;2015;"""Die M�glichkeit von Objektivit�t in der Wissenschaft bei Karl R. Popper und J�rgen Habermas""";3668102236;Unbekannt
Joseph Hillebrand;1822;"""Die anthropologie als wissenschaft""";Unbekannt;Unbekannt
H. Laitko;31.12.1979;"""Wissenschaft als allgemeine Arbeit""";3112530756;Unbekannt
Anna Leuschner;31.03.2014;"""Die Glaubw�rdigkeit der Wissenschaft""";9783839419748;25,99
Ernst Rolffs;1899;"""Die Theologie als Wissenschaft""";Unbekannt;Unbekannt
Notgemeinschaft der Deutschen Wissenschaft;1929;"""Bericht der Notgemeinschaft der Deutschen Wissenschaft""";Unbekannt;Unbekannt
Spektrum der Wissenschaft;03.11.2021;"""Spektrum Kompakt - Quantencomputer""";9783958926820;4,99
Mathilda Masters, Angelique van Ombergen;25.09.2023;"""321 superschlaue Dinge, die du �ber Wissenschaft wissen musst""";3446277242;Unbekannt
Ernst Engelke, Christian Spatscheck, Stefan Borrmann;19.07.2024;"""Die Wissenschaft Soziale Arbeit""";9783784137087;26,99
Katholische Schweizerische Gesellschaft f�r Christliche Wissenschaft und Kunst;1864;"""Katholische Schweizer-Bl�tter f�r christliche Wissenschaft""";Unbekannt;Unbekannt
Unbekannt;1938;"""Deutsche Wissenschaft, Erziehung und Volksbildung""";Unbekannt;Unbekannt
J�rgen Bona Meyer;1866;"""Volksbildung und Wissenschaft in Deutschland w�hrend der letzten Jahrhunderte""";Unbekannt;Unbekannt
Hans Mohr;30.03.2005;"""Strittige Themen im Umfeld der Naturwissenschaften""";354024462X;Unbekannt
Julian Hamann, Jens Mae�e, Vincent Gengnagel, Alexander Hirschfeld;15.09.2016;"""Macht in Wissenschaft und Gesellschaft""";9783658149000;54,99
Ernst Engelke, Christian Spatscheck, Stefan Borrmann;19.07.2024;"""Die Wissenschaft Soziale Arbeit""";9783784137087;26,99
Katholische Schweizerische Gesellschaft f�r Christliche Wissenschaft und Kunst;1864;"""Katholische Schweizer-Bl�tter f�r christliche Wissenschaft""";Unbekannt;Unbekannt
Unbekannt;1938;"""Deutsche Wissenschaft, Erziehung und Volksbildung""";Unbekannt;Unbekannt
J�rgen Bona Meyer;1866;"""Volksbildung und Wissenschaft in Deutschland w�hrend der letzten Jahrhunderte""";Unbekannt;Unbekannt
Hans Mohr;30.03.2005;"""Strittige Themen im Umfeld der Naturwissenschaften""";354024462X;Unbekannt
Julian Hamann, Jens Mae�e, Vincent Gengnagel, Alexander Hirschfeld;15.09.2016;"""Macht in Wissenschaft und Gesellschaft""";9783658149000;54,99
Friedrich Nietzsche;1999;"""Die fr�hliche Wissenschaft""";Unbekannt;Unbekannt
Paul Heller;1989;"""Franz Kafka""";Unbekannt;Unbekannt
John Lennox;07.04.2016;"""Sieben Tage, das Universum und Gott""";9783417227123;13,99
Imre Lakatos;01.01.1982;"""Mathematik, empirische Wissenschaft und Erkenntnistheorie""";3528084308;Unbekannt
Eberhard Knobloch;1997;"""Wissenschaft, Technik, Kunst""";Unbekannt;Unbekannt
Ernst Cassirer;2000;"""Gesammelte Werke. Hamburger Ausgabe / Das Erkenntnisproblem in der Philosophie und Wissenschaft der neueren Zeit""";3787314059;Unbekannt
Joseph Hillebrand;1822;"""Die Anthropologie als Wissenschaft""";Unbekannt;Unbekannt
Unbekannt;1932;"""Dritter vorl�ufiger Bericht �ber die von der Notgemeinschaft der deutschen Wissenschaft in Uruk unternommenen Ausgrabungen""";Unbekannt;Unbekannt
Unbekannt;12.10.2020;"""Wissenschaft und Verantwortung""";9783110870794;109,95
Paul Gerhard Buchloh;1995;"""Literatur in Wissenschaft und Unterricht""";Unbekannt;Unbekannt
Andreas Baumert;20.09.2019;"""Einfache Sprache in Zeiten des Wandels""";3658277394;Unbekannt
Thomas Kurtz, Dorothee M. Meister, Uwe Sander;01.03.2024;"""Digitale Medien und die Produktion von Wissenschaft""";9783658425425;62,99
Christa Hempel-K�ter;2000;"""Germanistik zwischen 1925 und 1955""";3050034726;Unbekannt
Max Weber;1992;"""Wissenschaft als Beruf""";316145765X;Unbekannt
Max Kappeler;1970;"""Die vier geistigen Bewusstseinsebenen""";Unbekannt;Unbekannt
Westf�lischer Provinzial-Verein f�r Wissenschaft und Kunst, M�nster;1881;"""Jahresbericht des Westf�lischen Provinzial-Vereins f�r Wissenschaft und Kunst""";Unbekannt;Unbekannt
Gottfried Semper;1852;"""Wissenschaft, Industrie und Kunst""";Unbekannt;Unbekannt
Ernst Haeckel;27.12.2018;"""Freie Wissenschaft Und Freie Lehre: Eine Entgegnung Auf Rudolf Virchow's M�nchener Rede �ber Die Freiheit Der Wissenschaft Im Modernen Staat (Classic""";065680310X;Unbekannt
Hans-Berthold Busse;1981;"""Kunst und Wissenschaft""";Unbekannt;Unbekannt
Henri Poincar�, Ferdinand Lindemann;1973;"""Wissenschaft und Methode""";3519073269;Unbekannt
Lisa Medrow;13.07.2018;"""Moderne Tradition und religi�se Wissenschaft""";3506788698;Unbekannt
Unbekannt;1934;"""Neue Jahrb�cher f�r Wissenschaft und Jugendbildung""";Unbekannt;Unbekannt
Prof. Dr. Dr. h.c. Klaus Brockhoff;17.08.2016;"""Betriebswirtschaftslehre in Wissenschaft und Geschichte""";3658145838;Unbekannt
Gottfried Semper;1852;"""Wissenschaft, Industrie und Kunst""";Unbekannt;Unbekannt
Ernst Haeckel;27.12.2018;"""Freie Wissenschaft Und Freie Lehre: Eine Entgegnung Auf Rudolf Virchow's M�nchener Rede �ber Die Freiheit Der Wissenschaft Im Modernen Staat (Classic""";065680310X;Unbekannt
Hans-Berthold Busse;1981;"""Kunst und Wissenschaft""";Unbekannt;Unbekannt
Henri Poincar�, Ferdinand Lindemann;1973;"""Wissenschaft und Methode""";3519073269;Unbekannt
Lisa Medrow;13.07.2018;"""Moderne Tradition und religi�se Wissenschaft""";3506788698;Unbekannt
Prof. Dr. Dr. h.c. Klaus Brockhoff;17.08.2016;"""Betriebswirtschaftslehre in Wissenschaft und Geschichte""";3658145838;Unbekannt
Martin F. Meyer;16.03.2015;"""Aristoteles und die Geburt der biologischen Wissenschaft""";9783658081041;56,64
Troxler;1829;"""Logik""";Unbekannt;Unbekannt
Dseng Schen;21.09.2018;"""Die gro�e Wissenschaft""";9783736988637;20,9
Wolfgang Kn�ll;23.06.2023;"""Nahtoderfahrungen � Blick in eine andere Welt""";9783843615051;16,99
Freiherr Karl Ludwig August Friedrich Maximilian Alfred Du Prel, Carl Du Prel;1872;"""Der gesunde Menschenverstand vor den Problemen der Wissenschaft""";Unbekannt;Unbekannt
Ursula Newell Gestefeld;Unbekannt;"""Der Erbauer und der Plan""";Unbekannt;3,1
Spektrum der Wissenschaft;16.12.2022;"""Spektrum Geschichte - Neandertaler""";9783958926561;4,99
Beroald Thomassen;1991;"""Wissenschaft zwischen Neugierde und Verantwortung""";3631440804;Unbekannt
Ernst Cassirer;1971;"""Das Erkenntnisproblem in der Philosophie und Wissenschaft der neueren Zeit""";3487040611;Unbekannt
W. T�lle;16.07.2022;"""Die Wissenschaft der Religion""";9783368220150;Unbekannt
Spektrum der Wissenschaft;17.10.2019;"""Spektrum Kompakt - DNA""";9783958923720;4,99
Julius Hermann von Kirchmann;1999;"""Die Wertlosigkeit der Jurisprudenz als Wissenschaft""";9783950061666;Unbekannt
Karl Ludwig von Haller;1825;"""Restauration der Staats-Wissenschaft: Von den Republiken oder freyen Communit�ten""";Unbekannt;Unbekannt
Eberhard Poppe;31.12.1982;"""Sozialistisches Recht und Wissenschaft""";9783112774410;129
Aulus Cornelius Celsus;06.01.2016;"""Die medizinische Wissenschaft / De Medicina""";9783534741038;54,99
Peter Heintel, Hans-J�rg Rheinberger, Felix Tretter, Wolfgang Zinggl;82.017;"""Wissenschaft:Kunst""";399029248X;Unbekannt
Nona Lovell Brooks;Unbekannt;"""Die G�ttliche Wissenschaft und die Wahrheit""";Unbekannt;3,1
Unbekannt;1956;"""Universitas""";Unbekannt;Unbekannt
Dietrich Harth;1989;"""Karl Jaspers""";Unbekannt;Unbekannt
Susanne Schr�ter;12.02.2024;"""Der neue Kulturkampf""";9783451832284;15,99
Anja Steinbach, Marina Hennig, Oliver Arr�nz Becker;25.08.2014;"""Familie im Fokus der Wissenschaft""";9783658028954;26,96
Wilhelm Paszkowski;20.05.2015;"""Berlin in Wissenschaft und Kunst""";373721798X;Unbekannt
Mary Baker Eddy;1959;"""Science and Health with key to the Scriptures""";Unbekannt;Unbekannt
Theresa Wobbe;31.07.2015;"""Zwischen Vorderb�hne und Hinterb�hne""";9783839401187;22,99
Unbekannt;1956;"""Universitas""";Unbekannt;Unbekannt
Dietrich Harth;1989;"""Karl Jaspers""";Unbekannt;Unbekannt
Susanne Schr�ter;12.02.2024;"""Der neue Kulturkampf""";9783451832284;15,99
Anja Steinbach, Marina Hennig, Oliver Arr�nz Becker;25.08.2014;"""Familie im Fokus der Wissenschaft""";9783658028954;26,96
Wilhelm Paszkowski;20.05.2015;"""Berlin in Wissenschaft und Kunst""";373721798X;Unbekannt
