Autor;Erscheinungsjahr;Titel;ISBN;Aktueller Preis
"Johann Bernhard Basedow";24.08.2024; """ J.B. Basedow's Ausgewählte Schriften: mit Basedow's Biographie, Einleitungen und Anmerkungen""";3386941222;Unbekannt
"Bärbel Barzel, Andreas Büchter, Christian Rütten, Florian Schacht, Stephanie Weskamp-Kleine";22.08.2024; """ Inklusives Lehren und Lernen von Mathematik""";9783658439644;69,99
"Patricia Highsmith";21.08.2024; """ Der talentierte Mr. Ripley""";9783257600957;11,99
"Patricia Highsmith";21.08.2024; """ Der talentierte Mr. Ripley""";9783257600957;11,99
"Michael J. Plein, Pater Hugo M. Plein";15.08.2024; """ Pater Hugo""";9783759791979;6,99
"Michael J. Plein, Pater Hugo M. Plein";15.08.2024; """ Pater Hugo""";9783759791979;6,99
"Fabian Gottfried Prilasnig";13.08.2024; """ Die Rolle der Physik für die Wissenschaftstheorie""";9783389057421;7,99
"Gerhard Merziger, Detlef Wille";05.08.2024; """ Formeln + Hilfen Höhere Mathematik""";9783446482326;29,99
"Gerhard Merziger, Michael Holz, Steffen Timmann, Detlef Wille";05.08.2024; """ Repetitorium Elementare Mathematik 2""";9783446482357;24,99
"Gerhard Merziger, Detlef Wille";05.08.2024; """ Formeln + Hilfen Höhere Mathematik""";9783446482326;29,99
"Richard Schwartz";01.08.2024; """ Invasion""";9783492995962;14,99
"Ernst Engelke, Christian Spatscheck, Stefan Borrmann";19.07.2024; """ Die Wissenschaft Soziale Arbeit""";9783784137087;26,99
"Maria Resco";19.07.2024; """ Das sonnengelbe Cabrio""";9783987560286;4,99
"Ernst Engelke, Christian Spatscheck, Stefan Borrmann";19.07.2024; """ Die Wissenschaft Soziale Arbeit""";9783784137087;26,99
"Dörthe Herrler, Gabriele Pfannmüller";02.07.2024; """ 10-Minuten-Tests Deutsch - Klasse 3/4""";9783403382652;19,99
"Bernd Baumgarten";01.07.2024; """ Diskrete Mathematik kompakt""";9783111336107;74,95
"Simon Probst";30.06.2024; """ Sinn in der Klimakrise""";9783839474259;Unbekannt
"Martin Schröder";30.06.2024; """ Das Revival der traditionellen gälischen Musik Schottlands""";9783839472682;Unbekannt
"Martin Schröder";30.06.2024; """ Das Revival der traditionellen gälischen Musik Schottlands""";9783839472682;Unbekannt
"Marco Thomas, Michael Weigend";06.06.2024; """ Informatik in Teams""";9783759763471;5,99
"Tobias Postel";29.05.2024; """ Musik und Identität. Musik und ihr Einfluss auf individuelle und kollektive Identitätsprozesse""";9783389028742;6,99
"Heinz Klaus Strick";23.05.2024; """ Verkannt, verfemt, vergessen""";3662688468;Unbekannt
"Rudolf Berghammer";23.05.2024; """ Mathematik für die Informatik""";3658441488;Unbekannt
"Wilhelm Ostwald";19.05.2024; """ Kunst und Wissenschaft""";Unbekannt;1,99
"Wilhelm Ostwald";19.05.2024; """ Kunst und Wissenschaft""";Unbekannt;1,99
"Purabi Mukherji";17.05.2024; """ Namhafte indische Mathematiker und Statistiker""";9789819701001;64,99
"Paul A. Tipler, Gene Mosca";16.05.2024; """ Tipler Physik""";9783662679364;64,99
"Boris Tolg";09.05.2024; """ Informatik auf den Punkt gebracht""";9783658437152;32,99
"Sheridan Winn";02.05.2024; """ Vier zauberhafte Schwestern""";9783733607418;7,99
"Frederik Dilling, Kathrin Holten, Ingo Witzke";30.04.2024; """ Interdisziplinäres Forschen und Lehren in den MINT-Didaktiken""";9783658438739;62,99
"Frederik Dilling, Kathrin Holten, Ingo Witzke";30.04.2024; """ Interdisziplinäres Forschen und Lehren in den MINT-Didaktiken""";9783658438739;62,99
"Alexa Lucke, Hermann Johannes";30.04.2024; """ Literaturwissenschaft und Informatik""";9783839470039;Unbekannt
"Rudolf Berghammer";27.04.2024; """ Mathematik für die Informatik""";9783658441494;39,99
"O. Nashchubskiy";13.04.2024; """ Russland ist der Blutfeind der Ukraine. Die wahre Geschichte der Ukraine und Russlands ab dem 2. Jahrhundert v. Chr. nicht durch russische Propaganda verfälscht.""";Unbekannt;24,61
"Heinz-Jürgen Sibbel";10.04.2024; """ Die Herausforderungen der Biografie-Recherche. Eine Analyse am Beispiel von Dr. Horst Jencio, SS-Arzt im Nationalsozialismus""";9783389010501;18,99
"Markus Dangl, Jürgen H. Franz";02.04.2024; """ Natur, Kultur und Technik""";9783732909858;46
"Julia Wiederhofer";29.03.2024; """ Psychoneuroendokrinologie in der psychosozialen und psychotherapeutischen Praxis""";9783658424640;42,99
"Patrick Cramer";27.03.2024; """ Zukunftswelten""";9783104918440;24,99
"Patrick Cramer";27.03.2024; """ Zukunftswelten""";9783104918440;24,99
"Thomas Kurtz, Dorothee M. Meister, Uwe Sander";01.03.2024; """ Digitale Medien und die Produktion von Wissenschaft""";9783658425425;62,99
"Mark Zegarelli";23.02.2024; """ Grundlagen der Mathematik für Dummies""";9783527847747;17,99
"Theo Bro";21.02.2024; """ Lexikon der Informatik, Datenverarbeitung und Kryptographie (HC)""";9783758368158;Unbekannt
"Anonym";14.02.2024; """ Gesammt-Verlags-Katalog des deutschen Buchhandels""";9783368666866;Unbekannt
"Susanne Schröter";12.02.2024; """ Der neue Kulturkampf""";9783451832284;15,99
"Susanne Schröter";12.02.2024; """ Der neue Kulturkampf""";9783451832284;15,99
"John Boyne";02.02.2024; """ So fern wie nah""";9783733607500;9,99
